st_x,st_y,latitude,longitude,utm_x,utm_y
441184.7839999996,4473200.78,40.40734528658717,-3.6931615880716397,-411120.8674014125,4925314.358762928
441181.2439999991,4473184.23,40.4071959457035,-3.6932017758901163,-411125.3410889014,4925292.526181829
441178.8839999987,4473160.910000001,40.406985700588145,-3.6932274320356435,-411128.1971179572,4925261.789914871
441140.85399999935,4473176.92,40.407127238874104,-3.6936770784887965,-411178.2515321592,4925282.481745521
441126.35500000074,4473191.33,40.40725602620809,-3.693849275846406,-411197.4204543242,4925301.309520907
441121.81500000105,4473194.6,40.407285162942145,-3.693903080365276,-411203.4099459672,4925305.569105376
441116.5050000003,4473195.61,40.40729388596739,-3.693965749950091,-411210.38629223703,4925306.844350338
441104.68500000064,4473193.341,40.40727260954637,-3.694104833740114,-411225.86902892,4925303.733887461
441003.9349999999,4473158.581000001,40.406952340330704,-3.6952889075553177,-411357.67952309013,4925256.912903
440993.6050000011,4473163.620999999,40.40699701107996,-3.695411108958802,-411371.2829211002,4925263.443421928
440783.9759999989,4473093.142999999,40.40634722569425,-3.697874929158303,-411645.55413111486,4925168.450238343
440778.2160000011,4473091.003,40.40632753778971,-3.697942608215618,-411653.08812931256,4925165.572045833
440656.1269999998,4473047.613999999,40.4059279744069,-3.6993773083273256,-411812.79821518884,4925107.159696718
440596.2269999992,4473026.504,40.40573353321117,-3.700081219366687,-411891.15723365435,4925078.734377031
440519.3780000002,4473001.305,40.40550104129634,-3.7009844755801957,-411991.70725539804,4925044.746538092
440385.94799999887,4472954.316,40.40506819786709,-3.70255244687072,-412166.2530210376,4924981.469756777
440350.318,4472954.016,40.405062943346316,-3.702972288848251,-412212.9896161901,4924980.701608165
440272.918999999,4472969.567,40.40519748545902,-3.703885831205567,-412314.68468622456,4925000.370088126
440050.8999999995,4473024.688999999,40.4056780940747,-3.7065073370671735,-412606.50938385015,4925070.629755754
440000.9530000007,4473038.581,40.40579964188115,-3.707097235608005,-412672.17658903525,4925088.398781122
439890.40099999885,4473069.33,40.40606866909783,-3.708402916355502,-412817.5243049852,4925127.727876773
439794.2919999993,4473093.231,40.406277036019155,-3.7095377577127775,-412943.85426700825,4925158.189150333
439762.43199999904,4473099.351,40.406329863273854,-3.70991378688822,-412985.7136433419,4925165.912010414
439646.4429999998,4473126.031999999,40.40656181787286,-3.7112831747644903,-413138.15320442675,4925199.821716933
439613.0330000005,4473137.673,40.40666426276648,-3.7116779965322713,-413182.1045625703,4925214.798289597
439581.69399999984,4473146.782999999,40.40674405616224,-3.712048173607478,-413223.3124860856,4925226.463421604
439442.7450000008,4473225.554,40.407443566553454,-3.713693105221344,-413406.42543573095,4925328.726625417
439312.77600000054,4473297.515,40.40808236022543,-3.7152315948131593,-413577.68931368255,4925422.114426041
439182.7570000011,4473366.8670000015,40.40869762638468,-3.716770453175888,-413748.9942430245,4925512.063483532
439051.92800000025,4473636.017999999,40.411112692325474,-3.718338022970822,-413923.49531437946,4925865.14286654
439094.068,4473742.778,40.41207751907609,-3.7178516148253657,-413869.34860730957,4926006.202778294
439173.1179999995,4473946.228000001,40.41391606902138,-3.7169394337351487,-413767.80507283536,4926275.008649426
438961.66,4473950.029999998,40.41393483844401,-3.719431974005623,-414045.27338652627,4926277.752877635
438944.200000001,4473950.7,40.41393959346592,-3.719637816229119,-414068.18763802963,4926278.44809708
438871.4500000003,4473952.721,40.41395245960304,-3.7204954183629577,-414163.6554708718,4926280.329221926
438662.9019999988,4473958.512999999,40.41398929359085,-3.7229538553829506,-414437.32742808474,4926285.714626622
438672.9220000013,4474107.443,40.41533165847644,-3.722850120146593,-414425.77967439604,4926481.980431019
438714.55300000036,4474311.723,40.41717496828058,-3.72237914214679,-414373.35064328316,4926751.495262482
438733.863,4474407.153,40.41803606490701,-3.7221607418649283,-414349.03843511717,4926877.400835082
438743.3730000008,4474454.112999999,40.41845980099558,-3.7220531760167543,-414337.0642596717,4926939.358160947
438761.33300000045,4474467.353000001,40.418580394494874,-3.721842765963064,-414313.6415196372,4926956.991025268
438789.7429999996,4474488.273,40.41877094110013,-3.7215099253062904,-414276.5898672098,4926984.8523132
438827.6629999995,4474526.562999998,40.41911866238712,-3.7210666633292977,-414227.24616964295,4927035.69552628
438859.1319999998,4474565.2420000015,40.41946941231938,-3.7206994697958526,-414186.3703724772,4927086.981848926
438884.9219999993,4474612.262000001,40.419894883374944,-3.7204000106624933,-414153.0347342383,4927149.1941823065
438893.69200000016,4474631.452,40.42006839927472,-3.720298484971314,-414141.7329459938,4927174.565772022
438902.6120000008,4474650.952,40.4202447187126,-3.7201952205285225,-414130.2376008052,4927200.347363652
438903.1220000004,4474652.072000002,40.42025484560399,-3.720189316868416,-414129.5804083683,4927201.828129146
439083.75100000104,4474654.176,40.420287042076566,-3.71806048371238,-413892.5997854545,4927206.535935213
439190.5410000013,4474659.43,40.42034218323951,-3.716802274589803,-413752.5365866178,4927214.598746104
439260.3600000006,4474660.108999998,40.42035339926349,-3.7159793965833647,-413660.9342259561,4927216.238768192
439300.67,4474665.259,40.420402734152674,-3.7155047619161543,-413608.09813648945,4927223.4525851635
439300.7300000003,4474665.278999998,40.42040291869826,-3.715504056616042,-413608.0196228401,4927223.479569689
439438.089,4474783.488,40.42147780634927,-3.713896287956794,-413429.0436343792,4927380.652469488
439482.04899999936,4474821.316999999,40.42182178519594,-3.7133817310115464,-413371.7634172501,4927430.9504917
439486.35900000104,4474830.467,40.42190452592384,-3.7133317994421278,-413366.20506036794,4927443.049224547
439499.8189999991,4474847.437000002,40.42205837801672,-3.7131747597782345,-413348.723484949,4927465.5462304335
439511.1190000001,4474861.676999999,40.422187479821176,-3.7130429199388946,-413334.0471411674,4927484.42416773
439623.86899999937,4474946.936,40.42296371994815,-3.7117220152732404,-413187.00470640033,4927597.930800105
439671.5989999994,4474983.0260000015,40.42329229689276,-3.711162832661926,-413124.75678284833,4927645.977747739
439692.569,4474997.266000002,40.423422097389526,-3.710917002846964,-413097.39113302494,4927664.95819972
439694.50800000125,4474998.586,40.42343412908041,-3.7108942723524714,-413094.86078595254,4927666.717570275
439626.27900000114,4475095.676999998,40.42430381993007,-3.7117077304373893,-413185.4145257473,4927793.891590517
439563.63999999897,4475213.467,40.425360376551616,-3.712457284061617,-413268.8544535186,4927948.39301728
439503.7910000008,4475330.148,40.4264071404484,-3.713173867627914,-413348.62417122955,4928101.464836528
439443.4019999994,4475447.869,40.42746322898949,-3.7138969381969504,-413429.1160187823,4928255.902644211
439423.7119999997,4475483.608999999,40.42778375690718,-3.7141324504149646,-413455.33311896725,4928302.775736362
439390.68200000044,4475543.52,40.42832105531586,-3.714527523426439,-413499.3124454307,4928381.349230416
439301.3730000003,4475705.5309999995,40.42977400823609,-3.7155957851009003,-413618.2307910657,4928593.8294370035
439251.22400000057,4475797.921999999,40.430602644886086,-3.7161957937471555,-413685.02344803844,4928715.011528181
439248.50400000036,4475802.942,40.43064766853076,-3.7162283385090746,-413688.6463143632,4928721.595951951
439383.965,4475782.864999999,40.4304766886278,-3.7146295276241568,-413510.66750077944,4928696.59124407
439477.7119999995,4475769.24,40.43036077494558,-3.7135230864245865,-413387.4990298506,4928679.639651919
439618.5010000002,4475749.618,40.43019424311075,-3.7118615225620584,-413202.53458675346,4928655.285548396
439733.55999999965,4475733.256999999,40.4300552000949,-3.710503594075456,-413051.3706790912,4928634.951536515
439875.69000000035,4475713.208,40.42988487504777,-3.708826195811447,-412864.64355848415,4928610.042816398
439969.7899999992,4475701.124999999,40.42978282213685,-3.7077157577744004,-412741.0301616427,4928595.118398115
439995.41899999906,4475697.832,40.42975500646258,-3.7074133201260833,-412707.36295663536,4928591.050583163
440131.628,4475680.153,40.429605560342615,-3.7058059590638996,-412528.43234167213,4928569.195338739
440314.616,4475638.211,40.42924087745628,-3.7036448759127043,-412287.86166571913,4928515.863722273
440419.51599999925,4475617.169999999,40.42905885047427,-3.702406301563474,-412149.98419985315,4928489.244009376
440458.4349999995,4475607.53,40.42897479554548,-3.7019466074058034,-412098.81128030067,4928476.951800707
440673.0639999995,4475544.897999999,40.42842591221189,-3.6994106401716462,-411816.50869912584,4928396.683376019
440866.0510000009,4475489.988,40.42794499812882,-3.6971305512484185,-411562.6903612288,4928326.355279027
440981.8909999992,4475455.444,40.42764203580101,-3.695761801381189,-411410.3218229854,4928282.050816836
441035.9410000003,4475421.9240000015,40.42734390458848,-3.6951215439779457,-411339.04869487975,4928238.453039832
441143.3340000004,4475350.442999999,40.426707574685175,-3.6938489690128,-411197.38629776344,4928145.3987894375
441350.62800000067,4475213.191,40.425485782364134,-3.691392731281206,-410923.95916421514,4927966.731407099
441429.978,4475187.769999999,40.42526236769425,-3.690455030293401,-410819.5747677364,4927934.060973085
441406.771999999,4475099.557,40.424466068342404,-3.6907204472361865,-410849.12084665516,4927817.6171950335
441355.3989999993,4474953.252000001,40.42314446257284,-3.6913125174569816,-410915.02980214794,4927624.360292567
441201.3679999997,4474531.620999999,40.419335335338346,-3.6930891516870394,-411112.8038199639,4927067.377208272
441210.88700000057,4474481.061000002,40.418880538724395,-3.6929722807504577,-411099.7938068151,4927000.8774623955
441194.06700000085,4474436.450999999,40.418477481611355,-3.693166406913575,-411121.40383244294,4926941.943372111
441166.0769999997,4474266.171000001,40.41694153763887,-3.693480561508883,-411156.37536202295,4926717.364389539
441155.0869999993,4474200.001000001,40.41634466878608,-3.693603971184964,-411170.1132643233,4926630.09423027
441151.7069999997,4474148.721000002,40.41588247434074,-3.693639064342277,-411174.0198167257,4926562.515791185
441167.8269999998,4474065.580999999,40.41513464793074,-3.6934413834760353,-411152.01408335613,4926453.175474388
441187.215999999,4473943.251,40.41403400912166,-3.693201556186661,-411125.3166316246,4926292.252375854
441211.8159999994,4473788.009999999,40.41263725892919,-3.692897281270831,-411091.44490293326,4926088.038971825
441231.81500000105,4473658.089999999,40.4114682869188,-3.692649582168923,-411063.8711650389,4925917.13138662
441254.74499999953,4473517.21,40.410200787729345,-3.6923663378843856,-411032.3405555141,4925731.822155705
441266.92400000023,4473462.320000001,40.4097071703586,-3.6922177406693177,-411015.79878919944,4925659.655909574
441289.9539999993,4473392.749,40.409082064228315,-3.6919399129462454,-410984.8711485388,4925568.266929799
441282.38399999874,4473350.069000001,40.408697047269875,-3.69202518637444,-410994.3637431436,4925511.9788192455
441296.56400000094,4473320.979,40.408435989876544,-3.6918553938643512,-410975.46252738003,4925473.813339613
441236.3240000006,4473273.37,40.40800285375875,-3.6925609130445496,-411054.0005632646,4925410.491009539
441212.8640000002,4473248.3,40.40777535416932,-3.692835066410962,-411084.5191764129,4925377.231872749
441201.38400000025,4473231.029999998,40.40761896651433,-3.6929687587454967,-411099.40173901623,4925354.368958625
441201.344,4473230.97,40.407618423178775,-3.6929692245874737,-411099.4535963079,4925354.289526396
441197.80399999954,4473225.64,40.407570157803875,-3.6930104497242167,-411104.04275753803,4925347.233435973
441184.7839999996,4473200.78,40.40734528658717,-3.6931615880716397,-411120.8674014125,4925314.358762928
